SimPoint	BBV	INS	BR	PROC
952.4000774	1213.11817	990.9422533	1118.822184	1464.657747
950.0566138	1235.686752	992.76901	1104.40031	1451.132004
950.1301971	1219.40588	987.5919226	1109.109499	1450.38444
999.4772561	1265.739067	1017.189939	1135.09759	1499.507288
976.1523005	1243.584576	1006.524903	1130.753154	1490.584328
971.1379374	1248.179156	1029.855247	1118.230065	1479.074057
974.3326082	1230.111176	1020.605683	1116.694587	1474.336456
963.226902	1236.830013	1005.271152	1121.017645	1465.066668
992.030311	1244.357404	1016.182762	1128.64986	1511.781855
950.0729143	1231.08171	988.7382088	1108.394196	1450.287953
950.1412864	1213.793376	999.1351921	1102.598352	1450.941402
963.7662562	1226.052012	998.3224671	1111.640258	1478.771386
951.4754331	1219.744107	988.9893238	1105.974913	1467.050425
994.7233436	1245.912469	1041.994564	1127.83373	1528.087181
954.3302541	1215.824283	1016.918776	1104.884966	1456.631365
950.1452124	1211.369348	987.6805613	1102.764431	1487.513848
970.4085307	1227.567985	1005.355824	1120.342394	1502.013265
990.62425	1242.763546	1012.031887	1124.879948	1490.861765
985.8114515	1246.364993	1023.595645	1127.059976	1528.075688
953.2755305	1232.793076	997.5658283	1104.342803	1500.271557
969.6803918	1226.50439	999.3890216	1113.388854	1470.003883
970.7593218	1227.346336	1004.916852	1119.132971	1486.660879
992.5412988	1244.234779	1014.144631	1126.009649	1492.544689
998.9814136	1252.07685	1017.200405	1129.461598	1508.316825
950.6764322	1232.686737	995.3907	1103.077915	1450.917155
950.5027748	1235.041635	987.8151481	1102.825044	1450.511382
976.2535986	1234.206988	1004.599722	1125.541241	1511.256065
971.5360759	1227.943306	1006.702991	1123.716186	1472.146199
953.9127276	1235.903783	999.6683831	1104.670562	1454.249065
970.8638657	1239.554977	1012.595986	1115.136593	1514.452746
954.0230207	1215.780667	1013.442635	1104.766457	1454.0371
951.4129873	1213.989321	988.3506334	1103.396565	1452.595987
978.616307	1252.88493	1016.219766	1119.529366	1527.880735
970.3252729	1227.036402	999.7188159	1113.729763	1472.616902
953.969919	1214.476097	1008.070592	1104.864799	1458.004652
960.4770685	1229.072316	993.7903512	1123.914765	1462.540633
985.935696	1239.102761	1009.207048	1141.730186	1485.977559
950.1089041	1217.98375	996.3779983	1104.767579	1450.610507
977.9884015	1234.06111	1004.536218	1117.897475	1478.937035
950.3885252	1211.754044	987.7906332	1103.755607	1450.394451
950.0045432	1214.980393	999.9776832	1109.042682	1454.053488
950.0336566	1211.285413	991.394755	1102.521919	1450.625345
961.1031253	1226.792651	995.1084038	1122.948627	1466.199161
968.0772365	1240.016472	998.3722187	1130.145576	1471.257343
950.5247199	1212.699958	994.7931809	1102.789994	1450.531886
950.1429824	1211.391041	992.0538149	1102.764889	1459.38562
958.7729834	1232.856971	992.780609	1118.812419	1458.796576
950.0059764	1227.053967	987.8511607	1110.308384	1459.330349
950.1961685	1211.429353	992.4157292	1102.639411	1450.232558
967.0293356	1224.794145	1006.457312	1111.875481	1467.966171
951.5501622	1213.734108	989.4198101	1106.828422	1478.52584
951.2180106	1215.771045	988.2360462	1103.216713	1476.910658
950.0155555	1235.906617	989.8036368	1104.16851	1459.450632
976.3279236	1234.946127	1008.528832	1116.992462	1483.545032
958.4508329	1217.851583	992.6024903	1107.622214	1458.603163
950.0330753	1212.290543	1014.506163	1102.523854	1450.822356
986.7478677	1239.866075	1009.87141	1122.789688	1486.751293
950.0560585	1211.318175	990.5893595	1102.602564	1450.135836
950.0110213	1220.838424	999.6968925	1102.823376	1466.298462
950.506435	1211.762846	989.4640802	1102.782982	1485.222516
950.0217749	1224.070091	1013.014057	1102.529397	1450.050204
950.0739555	1232.483062	987.7085021	1102.705903	1495.68322
957.6891474	1217.369952	1006.219114	1108.964699	1475.816219
986.8724679	1245.316696	1012.345313	1123.338344	1504.301822
950.0054848	1211.836123	1009.764037	1110.356243	1459.880375
950.0323199	1211.816212	988.8743341	1102.519393	1450.036776
959.5265426	1235.09011	994.0622621	1127.310838	1461.553717
971.5752647	1233.420797	1002.626093	1114.99882	1484.605743
950.4250731	1211.942535	990.865411	1103.669285	1492.483636
998.3576774	1258.362962	1048.862687	1129.1028	1501.124518
950.2115759	1211.515678	987.6328293	1119.906645	1451.449389
950.2989744	1223.636033	996.8766712	1107.834453	1493.574158
958.117502	1240.809512	1003.919716	1110.427886	1458.340433
953.0546058	1224.769696	989.3454427	1104.795357	1453.089109
950.004118	1228.843373	990.1139321	1102.511662	1450.782444
978.8986649	1233.729138	1004.851291	1123.196696	1479.614573
954.3490572	1221.499303	990.1178626	1107.032849	1454.4155
964.1401562	1227.11633	996.8213526	1113.164785	1468.577713
982.1020202	1236.147345	1033.334232	1134.020301	1516.152146
951.5878474	1235.102457	989.3307114	1119.543203	1451.695076
